Course Title,Rating,Reviews,Organization,Level,Skill Outcome,Exact Learning Period,link,,,,,,,,,,
Graphic design: pop your Linkedin with 3D effect using Canva guided project ,4.3 stars,35 reviews,Graphic design: pop your Linkedin with 3D effect using Canva guided project by Coursera Project Network,Beginner," Computer Graphics, Graphic Design, Research and Design ",1 month,/projects/linkedin-cover-with-canva,,,,,,,,,,0
Cybersecurity Awareness and Innovation free,4.6 stars,597 reviews,Cybersecurity Awareness and Innovation free course by EIT Digital,Beginner," Security Engineering, Operating Systems, Software Security ",1-3 months,/learn/cybersecurity,,,,,,,,,,0
Cloud Computing Security,4.5 stars,110 reviews,Cloud Computing Security course by University of Colorado System,Beginner," Cloud Computing, Amazon Web Services, Computer Networking ",1 month,/learn/cloud-computing-security,,,,,,,,,,0
Deep Learning with PyTorch : Object Localization guided project ,4.5 stars,31 reviews,Deep Learning with PyTorch : Object Localization guided project by Coursera Project Network,Intermediate," Applied Machine Learning, Artificial Neural Networks, Computer Vision ",1 month,/projects/deep-learning-with-pytorch--object-localization,,,,,,,,,,0
Software Developer Career Guide and Interview Preparation free,4.7 stars,70 reviews,Software Developer Career Guide and Interview Preparation free course by IBM,Beginner," Entrepreneurship, Business Psychology, Human Resources ",1 month,/learn/career-guide-and-interview-prep-for-full-stack-cloud-dev-pc,,,,,,,,,,0
Software Architecture for the Internet of Things free,4.3 stars,227 reviews,Software Architecture for the Internet of Things free course by EIT Digital,Mixed," Software Engineering, Software Architecture, Theoretical Computer Science ",1-3 months,/learn/iot-software-architecture,,,,,,,,,,0
Environmental Hazards and Global Public Health,4.8 stars,45 reviews,Environmental Hazards and Global Public Health course by University of Michigan,Mixed," Accounting, Audit, Computer Graphics ",1 month,/learn/environmental-hazards-and-global-public-health,,,,,,,,,,0
Imagining Other Earths free,4.7 stars,377 reviews,Imagining Other Earths free course by Princeton University,Mixed," Business Communication, Communication, Computer Graphics ",3-6 months,/learn/life-on-other-planets,,,,,,,,,,0
Comprendre les Microcontroleurs free,4.6 stars,102 reviews,Comprendre les Microcontroleurs free course by École Polytechnique Fédérale de Lausanne,Intermediate," Computational Logic, Theoretical Computer Science, Internet Of Things ",1-3 months,/learn/microcontroleurs,,,,,,,,,,0
Cybersecurity and Mobility,4.5 stars,609 reviews,Cybersecurity and Mobility course by University System of Georgia,Beginner," Security Engineering, Mobile Development, Mobile Security ",1 month,/learn/cybersecurity-mobility,,,,,,,,,,0
Usability Testing with Hotjar guided project ,4.1 stars,15 reviews,Usability Testing with Hotjar guided project by Coursera Project Network,Intermediate," Business Psychology, Design and Product, Human Computer Interaction ",1 month,/projects/usability-testing-hotjar,,,,,,,,,,0
Generative Design for Performance and Weight Reduction,4.8 stars,89 reviews,Generative Design for Performance and Weight Reduction course by Autodesk,Intermediate," Computer Graphics, Product Design ",1 month,/learn/generative-design-performance-weight-reduction,,,,,,,,,,0
Rapid Prototyping of Embedded Interface Designs,3.2 stars,5 reviews,Rapid Prototyping of Embedded Interface Designs course by University of Colorado Boulder,Intermediate, Design and Product ,1 month,/learn/rapid-prototyping-embedded-interface,,,,,,,,,,0
Google Digital Marketing & E-commerce,4.8 stars,18.1k reviews,Google Digital Marketing & E-commerce professional certificate by Google,Beginner," Digital Marketing, Marketing, Marketing Management ",3-6 months,/professional-certificates/google-digital-marketing-ecommerce,,,,,,,,,,0
Data Science Fundamentals with Python and SQL specialization ,4.5 stars,57.3k reviews,Data Science Fundamentals with Python and SQL specialization by IBM,Beginner," Python Programming, General Statistics, Probability & Statistics ",3-6 months,/specializations/data-science-fundamentals-python-sql,,,,,,,,,,0
Key Technologies for Business specialization ,4.7 stars,78.9k reviews,Key Technologies for Business specialization by IBM,Beginner," Data Science, Cloud Computing, Applied Machine Learning ",1-3 months,/specializations/key-technologies-for-business,,,,,,,,,,0
IBM & Darden Digital Strategy specialization ,4.7 stars,27.7k reviews,IBM & Darden Digital Strategy specialization by University of Virginia Darden School Foundation,Beginner," Entrepreneurship, Strategy and Operations, Business Analysis ",3-6 months,/specializations/digital-strategy,,,,,,,,,,0
AI Foundations for Everyone specialization ,4.7 stars,13.5k reviews,AI Foundations for Everyone specialization by IBM,Beginner," Machine Learning, Applied Machine Learning, Data Science ",3-6 months,/specializations/ai-foundations-for-everyone,,,,,,,,,,0
Supervised Machine Learning: Regression and Classification,4.9 stars,12.8k reviews,Supervised Machine Learning: Regression and Classification course by DeepLearning.AI,Beginner," Machine Learning, Probability & Statistics, Regression ",1 month,/learn/machine-learning,,,,,,,,,,0
"BI Foundations with SQL, ETL and Data Warehousing specialization ",4.6 stars,19.1k reviews,BI Foundations with SQL,Beginner," Data Management, SQL, Data Warehousing ",3-6 months,/specializations/bi-foundations-sql-etl-data-warehouse,,,,,,,,,,0
IT Fundamentals for Cybersecurity specialization ,4.6 stars,19k reviews,IT Fundamentals for Cybersecurity specialization by IBM,Beginner," Security Engineering, Cyberattacks, Network Security ",3-6 months,/specializations/it-fundamentals-cybersecurity,,,,,,,,,,0
Play It Safe: Manage Security Risks new,4.8 stars,2k reviews,Play It Safe: Manage Security Risks new course by Google,Beginner," Security Engineering, Finance, Regulations and Compliance ",1 month,/learn/manage-security-risks,,,,,,,,,,0
Meta Social Media Marketing,4.8 stars,16.6k reviews,Meta Social Media Marketing professional certificate by Meta,Beginner," Marketing, Digital Marketing, Social Media ",3-6 months,/professional-certificates/facebook-social-media-marketing,,,,,,,,,,0
Foundations of Digital Marketing and E-commerce,4.8 stars,13.3k reviews,Foundations of Digital Marketing and E-commerce course by Google,Beginner," Digital Marketing, Marketing, Media Strategy & Planning ",1 month,/learn/foundations-of-digital-marketing-and-e-commerce,,,,,,,,,,0
Meta Android Developer,4.7 stars,4.2k reviews,Meta Android Developer professional certificate by Meta,Beginner," Mobile Development, Computer Programming, Web Development ",3-6 months,/professional-certificates/meta-android-developer,,,,,,,,,,0
Meta iOS Developer,4.7 stars,4.1k reviews,Meta iOS Developer professional certificate by Meta,Beginner," Mobile Development, Swift Programming, iOS Development ",3-6 months,/professional-certificates/meta-ios-developer,,,,,,,,,,0
Become a CBRS Certified Professional Installer ,4.6 stars,183 reviews,Become a CBRS Certified Professional Installer by Google course by Google - Spectrum Sharing,Mixed," SAS (Software), Statistical Programming, Business Psychology ",1-3 months,/learn/google-cbrs-cpi-training,,,,,,,,,,0
AI For Business specialization ,4.7 stars,282 reviews,AI For Business specialization by University of Pennsylvania,Beginner," Machine Learning, Entrepreneurship, Leadership and Management ",3-6 months,/specializations/ai-for-business-wharton,,,,,,,,,,0
Análisis de Datos de Google,4.8 stars,5.5k reviews,Análisis de Datos de Google professional certificate by Google,Beginner," Data Analysis, Data Management, Statistical Programming ",3-6 months,/professional-certificates/analisis-de-datos-de-google,,,,,,,,,,0
Prepare Data for Exploration,4.8 stars,16.3k reviews,Prepare Data for Exploration course by Google,Beginner," Spreadsheet Software, Data Structures, SQL ",1-3 months,/learn/data-preparation,,,,,,,,,,0
Digital Product Management specialization ,4.7 stars,9k reviews,Digital Product Management specialization by University of Virginia,Beginner," Design and Product, Agile Software Development, Software Engineering ",3-6 months,/specializations/uva-darden-digital-product-management,,,,,,,,,,0
Tools of the Trade: Linux and SQL new,4.8 stars,800 reviews,Tools of the Trade: Linux and SQL new course by Google,Beginner," Human Computer Interaction, Operating Systems, Software Architecture ",1 month,/learn/linux-and-sql,,,,,,,,,,0
Neural Networks and Deep Learning,4.9 stars,119.3k reviews,Neural Networks and Deep Learning course by DeepLearning.AI,Intermediate," Artificial Neural Networks, Deep Learning, Machine Learning ",1 month,/learn/neural-networks-deep-learning,,,,,,,,,,0
Leading the Modern Day Business specialization ,4.7 stars,19.1k reviews,Leading the Modern Day Business specialization by University of Virginia,Beginner," Leadership and Management, Strategy and Operations, Strategy ",3-6 months,/specializations/leading-modern-day-business,,,,,,,,,,0
IBM Introduction to Machine Learning specialization ,4.6 stars,1.7k reviews,IBM Introduction to Machine Learning specialization by IBM,Intermediate," Machine Learning, Machine Learning Algorithms, Regression ",3-6 months,/specializations/ibm-intro-machine-learning,,,,,,,,,,0
AWS Fundamentals specialization ,4.8 stars,4.1k reviews,AWS Fundamentals specialization by Amazon Web Services,Beginner," Cloud Computing, Amazon Web Services, Information Technology ",3-6 months,/specializations/aws-fundamentals,,,,,,,,,,0
Digital Marketing specialization ,4.7 stars,22.2k reviews,Digital Marketing specialization by University of Illinois at Urbana-Champaign,Beginner," Marketing, Digital Marketing, Research and Design ",3-6 months,/specializations/digital-marketing,,,,,,,,,,0
Operating Systems and You: Becoming a Power User,4.7 stars,25.9k reviews,Operating Systems and You: Becoming a Power User course by Google,Beginner," Operating Systems, System Software, Computer Architecture ",1-3 months,/learn/os-power-user,,,,,,,,,,0
Diseño de Experiencia del Usuario (UX) de Google,4.9 stars,2.6k reviews,Diseño de Experiencia del Usuario (UX) de Google professional certificate by Google,Beginner," Human Computer Interaction, Research and Design, User Experience ",3-6 months,/professional-certificates/diseno-de-experiencia-del-usuario-ux-de-google,,,,,,,,,,0
"Assets, Threats, and Vulnerabilities new",4.8 stars,487 reviews,Assets,Beginner," Operating Systems, Security Engineering, System Security ",1 month,/learn/assets-threats-and-vulnerabilities,,,,,,,,,,0
DevOps on AWS specialization ,4.8 stars,4.2k reviews,DevOps on AWS specialization by Amazon Web Services,Intermediate," Cloud Computing, DevOps, Devops Tools ",1-3 months,/specializations/aws-devops,,,,,,,,,,0
Introduction to Programming with Python and Java specialization ,4.4 stars,1.4k reviews,Introduction to Programming with Python and Java specialization by University of Pennsylvania,Beginner," Computer Programming, Python Programming, Statistical Programming ",3-6 months,/specializations/programming-python-java,,,,,,,,,,0
Search Engine Optimization (SEO) specialization ,4.6 stars,11.9k reviews,Search Engine Optimization (SEO) specialization by University of California,Beginner," Marketing, Digital Marketing, Search Engine Optimization ",3-6 months,/specializations/seo,,,,,,,,,,0
Python 3 Programming specialization ,4.7 stars,20.9k reviews,Python 3 Programming specialization by University of Michigan,Beginner," Computer Programming, Python Programming, Computer Science ",3-6 months,/specializations/python-3-programming,,,,,,,,,,0
Data Science: Foundations using R specialization ,4.6 stars,47.6k reviews,Data Science: Foundations using R specialization by Johns Hopkins University,Beginner," R Programming, Data Analysis, Data Science ",3-6 months,/specializations/data-science-foundations-r,,,,,,,,,,0
Preparing for Google Cloud Certification: Machine Learning Engineer,4.6 stars,25.3k reviews,Preparing for Google Cloud Certification: Machine Learning Engineer professional certificate by Google Cloud,Intermediate," Machine Learning, Cloud Computing, Computer Programming ",3-6 months,/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,,,,,,,,,,0
